DBName                                                                                                                           type                                                                                                                                                                                                                                                             type_desc                                                                                                                                                                                                                                                        cnt
-------------------------------------------------------------------------------------------------------------------------------- ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- -----------
KnowledgePlus_Log                                                                                                                AF                                                                                                                                                                                                                                                               집계 함수(CLR)                                                                                                                                                                                                                                                       1
KnowledgePlus_Log                                                                                                                C                                                                                                                                                                                                                                                                CHECK 제약 조건                                                                                                                                                                                                                                                      1
KnowledgePlus_Log                                                                                                                D                                                                                                                                                                                                                                                                DEFAULT(제약 조건 또는 독립 실행형)                                                                                                                                                                                                                                         163
KnowledgePlus_Log                                                                                                                EC                                                                                                                                                                                                                                                               Edge 제약 조건                                                                                                                                                                                                                                                       1
KnowledgePlus_Log                                                                                                                F                                                                                                                                                                                                                                                                FOREIGN KEY 제약 조건                                                                                                                                                                                                                                                1
KnowledgePlus_Log                                                                                                                FN                                                                                                                                                                                                                                                               SQL 스칼라 함수                                                                                                                                                                                                                                                       1
KnowledgePlus_Log                                                                                                                FS                                                                                                                                                                                                                                                               어셈블리(CLR) 스칼라 함수                                                                                                                                                                                                                                                 1
KnowledgePlus_Log                                                                                                                FT                                                                                                                                                                                                                                                               어셈블리(CLR) 테이블 반환 함수                                                                                                                                                                                                                                              1
KnowledgePlus_Log                                                                                                                IF                                                                                                                                                                                                                                                               SQL 인라인 테이블 반환 함수                                                                                                                                                                                                                                                1
KnowledgePlus_Log                                                                                                                IT                                                                                                                                                                                                                                                               내부 테이블                                                                                                                                                                                                                                                           5
KnowledgePlus_Log                                                                                                                P                                                                                                                                                                                                                                                                SQL 저장 프로시저                                                                                                                                                                                                                                                      1
KnowledgePlus_Log                                                                                                                PC                                                                                                                                                                                                                                                               어셈블리(CLR) 저장 프로시저                                                                                                                                                                                                                                                1
KnowledgePlus_Log                                                                                                                PG                                                                                                                                                                                                                                                               계획 지침                                                                                                                                                                                                                                                            1
KnowledgePlus_Log                                                                                                                PK                                                                                                                                                                                                                                                               PRIMARY KEY 제약 조건                                                                                                                                                                                                                                                45
KnowledgePlus_Log                                                                                                                R                                                                                                                                                                                                                                                                규칙 (이전 스타일의 독립 실행형)                                                                                                                                                                                                                                              1
KnowledgePlus_Log                                                                                                                RF                                                                                                                                                                                                                                                               복제 필터 프로시저                                                                                                                                                                                                                                                       1
KnowledgePlus_Log                                                                                                                S                                                                                                                                                                                                                                                                시스템 기본 테이블                                                                                                                                                                                                                                                       45
KnowledgePlus_Log                                                                                                                SN                                                                                                                                                                                                                                                               동의어                                                                                                                                                                                                                                                              1
KnowledgePlus_Log                                                                                                                SO                                                                                                                                                                                                                                                               시퀀스 개체                                                                                                                                                                                                                                                           1
KnowledgePlus_Log                                                                                                                SQ                                                                                                                                                                                                                                                               서비스 큐                                                                                                                                                                                                                                                            3
KnowledgePlus_Log                                                                                                                TF                                                                                                                                                                                                                                                               SQL 테이블 반환 함수                                                                                                                                                                                                                                                    1
KnowledgePlus_Log                                                                                                                TR                                                                                                                                                                                                                                                               SQL DML 트리거                                                                                                                                                                                                                                                      1
KnowledgePlus_Log                                                                                                                U                                                                                                                                                                                                                                                                테이블(사용자 정의)                                                                                                                                                                                                                                                      200
KnowledgePlus_Log                                                                                                                UQ                                                                                                                                                                                                                                                               UNIQUE 제약 조건                                                                                                                                                                                                                                                     1
KnowledgePlus_Log                                                                                                                V                                                                                                                                                                                                                                                                뷰                                                                                                                                                                                                                                                                1
